x, y
0.012115556384779177, 0.2642335766931469
0.027958992681043102, 0.27591239742823975
0.041938489, 0.28540145667831834
0.060577817, 0.2963503615591573
0.076421254, 0.3029197156254626
0.095060582, 0.30948905576951546
0.11463186288193723, 0.31459853636055546
0.1304752991782012, 0.3182481713208351
0.15284250754371473, 0.3211678904268608
0.17520971590922826, 0.3233576379896226
0.19384904436325703, 0.3248175253871404
0.2236719414483449, 0.3262773710179008
0.2516309341293881, 0.32773723057091364
0.28145390231787115, 0.32919707620167404
0.3224603680340182, 0.3313868655311933
0.3560112161339862, 0.3321167813854472
0.3895619931305588, 0.3321167813854472
0.42124886572308673, 0.33284671116195363
0.4613233792372114, 0.33284671116195363
0.5041938204607985, 0.33357664093846007
0.5396085729648111, 0.33357664093846007
0.5759552776708463, 0.33357664093846007
0.6281453831214475, 0.33357664093846007
0.6700838721430122, 0.33357664093846007
0.7166821932780841, 0.33357664093846007
0.7567567067922089, 0.33357664093846007
0.7903075548921769, 0.33357664093846007
0.8247902840907717, 0.33357664093846007
0.8685926775163813, 0.33357664093846007
0.9170550452622885, 0.33357664093846007
0.9580615109784354, 0.3343065428704615
0.9972040722905376, 0.3343065428704615
1.0060543119018694, 0.3340024669535324
