x, y
0.080149134,0.40072993
0.082013038,0.389051095
0.083876978,0.372992696
0.09040075,0.339416051
0.095992534,0.299270081
0.105312199,0.265693436
0.113699911,0.237956216
0.123951527,0.205109501
0.138863011,0.168613152
0.151910555,0.145255483
0.164026076,0.124817532
0.176141668,0.108759133
0.191053117,0.097080284
0.205964565,0.084671548
0.222739989,0.072262783
0.240447365,0.062043794
0.257222718,0.055474468
0.27679407,0.047445254
0.306616967,0.039416069
0.335507912,0.032116799
0.358807073,0.028467164
0.383038186,0.024087613
0.405405394,0.02189781
0.424044722,0.019708007
0.453867691,0.017518259
0.479030755,0.016058372
0.499533988,0.015328456
0.525629077,0.013868624
0.547996285,0.013138708
0.572227398,0.011678821
0.60018639,0.010218989
0.629077335,0.010218989
0.651444544,0.009489073
0.673811752,0.008759102
0.693383033,0.008029186
0.714818289,0.00729927
0.739981425,0.00729927
0.766076371,0.006569354
0.797763315,0.005109467
0.831314021,0.005109467
0.865796892,0.005109467
0.899347598,0.005109467
0.939422183,0.005109467
0.980428648,0.005109467
1,0.005109467
